StopAreaNaptanCode,Mode,Line,UniqueId,Name,FareZones,HubNaptanCode,Wifi,AirportInterchange,BlueBadgeCarParking,BlueBadgeCarParkSpaces,StationUniqueId,IsAccessible,IsFeeCharged,Id,Type
910GWHMPSTM,nationalRail,national-rail,910GWHMPSTM,West Hampstead Thameslink,2,HUBWHD,True,,False,0.0,,,,,
910GWIMLCHS,nationalRail,national-rail,910GWIMLCHS,Wimbledon Chase,3,,False,,False,0.0,,,,,
910GWLTHQRD,overground,suffragette,910GWLTHQRD,Walthamstow Queen's Road,3,,False,,False,0.0,,,,,
910GWNDSWRD,overground,windrush,910GWNDSWRD,Wandsworth Road,2,,False,,False,0.0,,,,,
910GWNSTDPK,overground,suffragette,910GWNSTDPK,Wanstead Park,3,,False,,False,0.0,,,,,
910GWSUTTON,nationalRail,national-rail,910GWSUTTON,West Sutton,5,,False,,False,0.0,,,,,
910GWOLWXR,elizabeth-line,elizabeth,910GWOLWXR,Woolwich,4,910GWOLWXR,True,,False,0.0,,,,,
940GZZALGWP,cableCar,london-cable-car,940GZZALGWP,IFS Cloud Greenwich Peninsula,Outside,HUBNGW,False,,False,0.0,,,,,
940GZZALRDK,cableCar,london-cable-car,940GZZALRDK,IFS Cloud Royal Docks,Outside,HUBRVC,False,,False,0.0,,,,,
940GZZCRADD,tram,tram,940GZZCRADD,Addiscombe,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRADV,tram,tram,940GZZCRADV,Addington Village,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRAMP,tram,tram,940GZZCRAMP,Ampere Way,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRARA,tram,tram,940GZZCRARA,Arena,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRAVE,tram,tram,940GZZCRAVE,Avenue Road,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRBED,tram,tram,940GZZCRBED,Beddington Lane,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRBGV,tram,tram,940GZZCRBGV,Belgrave Walk,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRBLA,tram,tram,940GZZCRBLA,Blackhorse Lane,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRBRD,tram,tram,940GZZCRBRD,Beckenham Road,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRCEN,tram,tram,940GZZCRCEN,George Street,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRCHR,tram,tram,940GZZCRCHR,Church Street,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRCOO,tram,tram,940GZZCRCOO,Coombe Lane,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRCTR,tram,tram,940GZZCRCTR,Centrale,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRDDR,tram,tram,940GZZCRDDR,Dundonald Road,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRFLD,tram,tram,940GZZCRFLD,Fieldway,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRGRA,tram,tram,940GZZCRGRA,Gravel Hill,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRHAR,tram,tram,940GZZCRHAR,Harrington Road,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRKGH,tram,tram,940GZZCRKGH,King Henry's Drive,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRLEB,tram,tram,940GZZCRLEB,Lebanon Road,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRLOY,tram,tram,940GZZCRLOY,Lloyd Park,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRMCH,tram,tram,940GZZCRMCH,Mitcham,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRMDN,tram,tram,940GZZCRMDN,Morden Road,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRMTP,tram,tram,940GZZCRMTP,Merton Park,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRNWA,tram,tram,940GZZCRNWA,New Addington,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRPHI,tram,tram,940GZZCRPHI,Phipps Bridge,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRRVC,tram,tram,940GZZCRRVC,Reeves Corner,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRSAN,tram,tram,940GZZCRSAN,Sandilands,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRTPA,tram,tram,940GZZCRTPA,Therapia Lane,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRWAD,tram,tram,940GZZCRWAD,Waddon Marsh,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRWAN,tram,tram,940GZZCRWAN,Wandle Park,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRWEL,tram,tram,940GZZCRWEL,Wellesley Road,Trams fare zone,,False,,False,0.0,,,,,
940GZZCRWOD,tram,tram,940GZZCRWOD,Woodside,Trams fare zone,,False,,False,0.0,,,,,
940GZZDLABR,dlr,dlr,940GZZDLABR,Abbey Road,2|3,,False,,False,0.0,,,,,
940GZZDLALL,dlr,dlr,940GZZDLALL,All Saints,2,,False,,False,0.0,,,,,
940GZZDLBEC,dlr,dlr,940GZZDLBEC,Beckton,3,,False,,False,0.0,,,,,
940GZZDLBLA,dlr,dlr,940GZZDLBLA,Blackwall,2,,False,,False,0.0,,,,,
940GZZDLBOW,dlr,dlr,940GZZDLBOW,Bow Church,2,,False,,False,0.0,,,,,
940GZZDLBPK,dlr,dlr,940GZZDLBPK,Beckton Park,3,,False,,False,0.0,,,,,
940GZZDLCLA,dlr,dlr,940GZZDLCLA,Crossharbour,2,,False,,False,0.0,,,,,
910GCSTMHSXR,elizabeth-line,elizabeth,,,,,,,,,,,,,
940GZZDLCUS,dlr,dlr,,,,,,,,,,,,,
940GZZDLCYP,dlr,dlr,940GZZDLCYP,Cyprus,3,,False,,False,0.0,,,,,
940GZZDLDEP,dlr,dlr,940GZZDLDEP,Deptford Bridge,2|3,,False,,False,0.0,,,,,
940GZZDLDEV,dlr,dlr,940GZZDLDEV,Devons Road,2,,False,,False,0.0,,,,,
940GZZDLEIN,dlr,dlr,940GZZDLEIN,East India,2|3,,False,,False,0.0,,,,,
940GZZDLELV,dlr,dlr,940GZZDLELV,Elverson Road,2|3,,False,,False,0.0,,,,,
940GZZDLGAL,dlr,dlr,940GZZDLGAL,Gallions Reach,3,,False,,False,0.0,,,,,
940GZZDLHEQ,dlr,dlr,940GZZDLHEQ,Heron Quays,2,,False,,False,0.0,,,,,
940GZZDLISL,dlr,dlr,940GZZDLISL,Island Gardens,2,,False,,False,0.0,,,,,
940GZZDLKGV,dlr,dlr,940GZZDLKGV,King George V,3,,False,,False,0.0,,,,,
940GZZDLLDP,dlr,dlr,940GZZDLLDP,Langdon Park,2,,False,,False,0.0,,,,,
940GZZDLMUD,dlr,dlr,940GZZDLMUD,Mudchute,2,,False,,False,0.0,,,,,
940GZZDLPDK,dlr,dlr,940GZZDLPDK,Pontoon Dock,3,,False,,False,0.0,,,,,
940GZZDLPOP,dlr,dlr,940GZZDLPOP,Poplar,2,,False,,False,0.0,,,,,
940GZZDLPRE,dlr,dlr,940GZZDLPRE,Prince Regent,3,,False,,False,0.0,,,,,
940GZZDLPUD,dlr,dlr,940GZZDLPUD,Pudding Mill Lane,2|3,,False,,False,0.0,,,,,
940GZZDLRAL,dlr,dlr,940GZZDLRAL,Royal Albert,3,,False,,False,0.0,,,,,
