StopAreaNaptanCode,Mode,Line,UniqueId,Name,FareZones,HubNaptanCode,Wifi,AirportInterchange,BlueBadgeCarParking,BlueBadgeCarParkSpaces,StationUniqueId,IsAccessible,IsFeeCharged,Id
940GZZLUCPN,tube,northern,940GZZLUCPN,Clapham North,2,,True,,False,,,,,
940GZZLUCPS,tube,northern,940GZZLUCPS,Clapham South,2|3,,True,,False,,,,,
940GZZLUCSD,tube,northern,940GZZLUCSD,Colliers Wood,3,,True,,False,,,,,
940GZZLUCSM,tube,metropolitan,940GZZLUCSM,Chesham,9,,True,,True,4.0,940GZZLUCSM,FALSE,False,1.0
940GZZLUCSM,tube,metropolitan,940GZZLUCSM,Chesham,9,,True,,True,4.0,940GZZLUCSM,FALSE,False,2.0
940GZZLUCTN,tube,northern,940GZZLUCTN,Camden Town,2,,True,,False,,,,,
940GZZLUCWL,tube,central,940GZZLUCWL,Chigwell,4,,True,,False,,940GZZLUCWL,FALSE,False,1.0
940GZZLUCWL,tube,central,940GZZLUCWL,Chigwell,4,,True,,False,,940GZZLUCWL,FALSE,False,2.0
940GZZLUCWP,tube,district,940GZZLUCWP,Chiswick Park,3,,True,,False,,,,,
940GZZLUCXY,tube,metropolitan,940GZZLUCXY,Croxley,7,,True,,False,,940GZZLUCXY,FALSE,False,1.0
940GZZLUCXY,tube,metropolitan,940GZZLUCXY,Croxley,7,,True,,False,,940GZZLUCXY,FALSE,False,2.0
940GZZLUDBN,tube,central,940GZZLUDBN,Debden,6,,True,,True,3.0,940GZZLUDBN,FALSE,False,1.0
940GZZLUDBN,tube,central,940GZZLUDBN,Debden,6,,True,,True,3.0,940GZZLUDBN,FALSE,False,2.0
940GZZLUDGE,tube,district,940GZZLUDGE,Dagenham East,5,,True,,False,,940GZZLUDGE,FALSE,False,1.0
940GZZLUDGE,tube,district,940GZZLUDGE,Dagenham East,5,,True,,False,,940GZZLUDGE,FALSE,False,2.0
940GZZLUDGY,tube,district,940GZZLUDGY,Dagenham Heathway,5,,True,,False,,940GZZLUDGY,FALSE,False,1.0
940GZZLUDGY,tube,district,940GZZLUDGY,Dagenham Heathway,5,,True,,False,,940GZZLUDGY,FALSE,False,2.0
940GZZLUDGY,tube,district,940GZZLUDGY,Dagenham Heathway,5,,True,,False,,940GZZLUDGY,TRUE,False,3.0
940GZZLUDOH,tube,jubilee,940GZZLUDOH,Dollis Hill,3,,False,,False,,940GZZLUDOH,FALSE,False,1.0
940GZZLUDOH,tube,jubilee,940GZZLUDOH,Dollis Hill,3,,False,,False,,940GZZLUDOH,FALSE,False,2.0
940GZZLUDOH,tube,jubilee,940GZZLUDOH,Dollis Hill,3,,False,,False,,940GZZLUDOH,TRUE,False,3.0
940GZZLUEAE,tube,metropolitan,940GZZLUEAE,Eastcote,5,,False,,False,,,,,
940GZZLUEAE,tube,piccadilly,940GZZLUEAE,Eastcote,5,,False,,False,,,,,
940GZZLUEAN,tube,central,940GZZLUEAN,East Acton,2,,True,,False,,,,,
940GZZLUECM,tube,district,940GZZLUECM,Ealing Common,3,,True,,False,,940GZZLUECM,FALSE,False,1.0
940GZZLUECM,tube,district,940GZZLUECM,Ealing Common,3,,True,,False,,940GZZLUECM,FALSE,False,2.0
940GZZLUECM,tube,piccadilly,940GZZLUECM,Ealing Common,3,,True,,False,,940GZZLUECM,FALSE,False,1.0
940GZZLUECM,tube,piccadilly,940GZZLUECM,Ealing Common,3,,True,,False,,940GZZLUECM,FALSE,False,2.0
940GZZLUECT,tube,district,940GZZLUECT,Earl's Court,1|2,,True,,False,,,,,
940GZZLUECT,tube,piccadilly,940GZZLUECT,Earl's Court,1|2,,True,,False,,,,,
940GZZLUEFY,tube,northern,940GZZLUEFY,East Finchley,3,,True,,False,,,,,
940GZZLUEGW,tube,northern,940GZZLUEGW,Edgware,5,,True,,False,,,,,
