PlatformUniqueId,StopAreaNaptanCode,Line,DirectionTowards,MinGap,MaxGap,AverageGap,MinStep,MaxStep,AverageStep,DesignatedLevelAccessPoint,LocationOfLevelAccess,LevelAccessByManualRamp,AdditionalAccessibilityInformation,GroupName
910GHACKNYW-Plat01-WB-london-overground,910GHACKNYW,mildmay,Richmond and Clapham Junction,,,,,,,False,,True,,
910GHACKNYW-Plat02-EB-london-overground,910GHACKNYW,mildmay,Stratford,,,,,,,False,,True,,
910GHAGGERS-Plat01-NB-london-overground,910GHAGGERS,windrush,Highbury & Islington,0.0,85.0,,0.0,50.0,,True,,False,,
910GHAGGERS-Plat02-SB-london-overground,910GHAGGERS,windrush,"New Cross, Clapham Junction, Crystal Palace and West Croydon",0.0,85.0,,0.0,50.0,,True,,False,,
910GHAKNYNM-Plat01-SB-london-overground|national-rail,910GHAKNYNM,weaver,,,,,,,,False,,True,"Step-free access to/from platform 1 is via Hackney Central entrance, interchange footpath and lift",
910GHAKNYNM-Plat01-SB-london-overground|national-rail,910GHAKNYNM,national-rail,,,,,,,,False,,True,"Step-free access to/from platform 1 is via Hackney Central entrance, interchange footpath and lift",
910GHAKNYNM-Plat02-NB-london-overground|national-rail,910GHAKNYNM,weaver,,,,,,,,False,,False,,
910GHAKNYNM-Plat02-NB-london-overground|national-rail,910GHAKNYNM,national-rail,,,,,,,,False,,False,,
910GHAKNYNM-Plat03-SB-london-overground|national-rail,910GHAKNYNM,weaver,,,,,,,,False,,False,,
910GHAKNYNM-Plat03-SB-london-overground|national-rail,910GHAKNYNM,national-rail,,,,,,,,False,,False,,
910GHAKNYNM-Plat04-NB-london-overground|national-rail,910GHAKNYNM,weaver,,,,,,,,False,,False,,
910GHAKNYNM-Plat04-NB-london-overground|national-rail,910GHAKNYNM,national-rail,,,,,,,,False,,False,,
910GHANWELL-Plat02-WB-elizabeth,910GHANWELL,elizabeth,Hayes & Harlington,,,,,,,False,,True,,
910GHANWELL-Plat03-EB-elizabeth,910GHANWELL,elizabeth,Paddington Station,,,,,,,False,,True,,
910GHAYESAH-Plat01-WB-elizabeth|national-rail,910GHAYESAH,elizabeth,,,,,,,,False,,True,,
910GHAYESAH-Plat01-WB-elizabeth|national-rail,910GHAYESAH,national-rail,,,,,,,,False,,True,,
910GHAYESAH-Plat02-EB-elizabeth|national-rail,910GHAYESAH,elizabeth,,,,,,,,False,,True,,
910GHAYESAH-Plat02-EB-elizabeth|national-rail,910GHAYESAH,national-rail,,,,,,,,False,,True,,
910GHAYESAH-Plat03-WB-elizabeth|national-rail,910GHAYESAH,elizabeth,,,,,,,,False,,True,,
910GHAYESAH-Plat03-WB-elizabeth|national-rail,910GHAYESAH,national-rail,,,,,,,,False,,True,,
910GHAYESAH-Plat04-EB-elizabeth|national-rail,910GHAYESAH,elizabeth,,,,,,,,False,,True,,
910GHAYESAH-Plat04-EB-elizabeth|national-rail,910GHAYESAH,national-rail,,,,,,,,False,,True,,
910GHAYESAH-Plat05-EB-elizabeth,910GHAYESAH,elizabeth,,,,,,,,False,,True,,
910GHDON-Plat01-SB-national-rail,910GHDON,national-rail,,,,,,,,False,,True,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GHDON-Plat02-NB-national-rail,910GHDON,national-rail,,,,,,,,False,,False,"Not operated by TfL. If you need assistance, please check assisted travel at www.thameslinkrailway.co.uk",
910GHEDSTNL-Plat01-SB-london-overground,910GHEDSTNL,lioness,,,,,,,,False,,False,,
910GHEDSTNL-Plat02-NB-london-overground,910GHEDSTNL,lioness,Watford Junction,,,,,,,False,,True,,
910GHERNEH-Plat01-NB-national-rail,910GHERNEH,national-rail,,,,,,,,False,,True,,
910GHERNEH-Plat02-NB-national-rail,910GHERNEH,national-rail,,,,,,,,False,,True,,
910GHERNEH-Plat03-SB-national-rail,910GHERNEH,national-rail,,,,,,,,False,,True,,
910GHERNEH-Plat04-SB-national-rail,910GHERNEH,national-rail,,,,,,,,False,,True,,
910GHGHMSPK-Plat01-SB-london-overground,910GHGHMSPK,weaver,Liverpool Street,,,,,,,False,,True,Use the Wilton Place entrance for northbound platform. Step-free platform interchange requires a 350m journey via street,
910GHGHMSPK-Plat02-NB-london-overground,910GHGHMSPK,weaver,Chingford,,,,,,,False,,True,Use the Station Approach entrance for southbound platform. Step-free platform interchange requires a 350m journey via street,
